,psnr,ssim,lpips,test_time,render_speed,size,encoding_size,network_size,occgrid_size,num_samples_each_image,BitOps
chair_b_2,34.44,0.979,0.028,70.62,2.83,1.4353,1.3591,0.0685,0.0076,2840083.465,20.48126049076886
drums_b_2,25.8,0.929,0.077,86.44,2.31,1.5245,1.4407,0.0685,0.0152,6004016.85,43.29820197189758
ficus_b_2,33.56,0.979,0.027,68.5,2.92,1.5013,1.419,0.0685,0.0139,5032908.465,36.294954837737976
hotdog_b_2,36.39,0.976,0.039,100.0,2.0,1.4761,1.3954,0.0685,0.0123,4774743.16,34.43317338473929
lego_b_2,34.78,0.973,0.029,81.2,2.46,1.4598,1.3795,0.0685,0.0117,4515144.07,32.56105374719314
materials_b_2,29.18,0.939,0.072,91.73,2.18,1.5062,1.4305,0.0685,0.0071,9884541.425,71.28323594488599
mic_b_2,35.6,0.988,0.018,62.24,3.21,1.3852,1.3111,0.0685,0.0056,3024712.86,21.812722261325604
ship_b_2,29.47,0.884,0.13,180.64,1.11,1.6109,1.5089,0.0685,0.0335,19466561.42,140.38714372178788
Bike_b_2,37.66,0.989,0.015,57.88,3.46,1.5876,1.4927,0.0685,0.0264,1910851.87,13.780085111773545
Lifestyle_b_2,33.91,0.962,0.047,88.77,2.25,1.614,1.5174,0.0685,0.0281,10180192.735,73.41538887556557
Palace_b_2,35.63,0.969,0.023,72.53,2.76,1.5991,1.4915,0.0685,0.039,6674274.99,48.131850640818385
Robot_b_2,35.71,0.991,0.011,56.55,3.54,1.5302,1.4419,0.0685,0.0197,1714794.555,12.366215957283094
Spaceship_b_2,37.11,0.984,0.023,55.49,3.6,1.6294,1.5252,0.0685,0.0357,4095864.36,29.537388082333738
Steamtrain_b_2,35.92,0.985,0.022,68.55,2.92,1.5266,1.4264,0.0685,0.0317,2041527.535,14.72245442159469
Toad_b_2,32.88,0.966,0.034,62.52,3.2,1.6003,1.4777,0.0685,0.0541,4222790.095,30.45272164910141
Wineholder_b_2,31.55,0.959,0.047,61.82,3.24,1.507,1.4184,0.0685,0.0201,4667398.755,33.65905040296655
Barn_b_2,27.16,0.861,0.207,269.71,0.18,1.6976,1.5706,0.0685,0.0585,55841733.916666664,402.7396325782059
Caterpillar_b_2,25.43,0.897,0.151,130.67,0.35,1.687,1.5704,0.0685,0.0481,53709772.782608695,387.36215211611693
Family_b_2,33.72,0.961,0.054,28.15,0.68,1.6147,1.5134,0.0685,0.0328,26646989.36842105,192.17268031428117
Ignatius_b_2,27.81,0.943,0.077,48.21,0.68,1.6997,1.5914,0.0685,0.0397,32931833.0,237.50028445382125
Truck_b_2,26.97,0.901,0.148,90.8,0.35,1.6549,1.5422,0.0685,0.0443,55709906.84375,401.7887825685634
bicycle_b_2,17.92,0.487,0.45,23.24,1.03,1.8833,1.6384,0.0685,0.1764,49068040.208333336,353.92873264422514
bonsai_b_2,18.13,0.526,0.518,59.49,0.62,1.9179,1.6674,0.0685,0.182,55686243.027027026,401.64049975768336
counter_b_2,23.81,0.695,0.382,41.46,0.72,1.9195,1.6563,0.0685,0.1947,46565068.36666667,335.84521896196765
flowers_b_2,16.64,0.274,0.604,108.72,0.2,1.8823,1.6344,0.0685,0.1794,181172754.9090909,1306.7732965547198
garden_b_2,20.41,0.443,0.495,70.69,0.34,1.8952,1.6586,0.0685,0.1681,107408971.20833333,774.6606424924539
kitchen_b_2,23.08,0.632,0.375,34.74,1.01,1.9033,1.6497,0.0685,0.1852,29687587.885714285,214.10837728593793
room_b_2,29.92,0.855,0.279,61.91,0.63,1.8585,1.6318,0.0685,0.1581,38282183.79487179,276.0996262548631
stump_b_2,20.87,0.446,0.543,109.87,0.15,1.8796,1.6256,0.0685,0.1854,282701044.125,2039.3113772752617
treehill_b_2,17.91,0.397,0.582,109.64,0.16,1.8806,1.6121,0.0685,0.1999,200919663.94444445,1449.2312854528334
